,evaluation_timestep,eval_start_date,eval_end_date,eval_length,signal_length,holding_period,opt_entry_exit,pmwf,ur_1,ur_signal,uhr,ufmfgs,ctwof1,ctwof2,num_penu,penu_filter_thresh,profit,sharpe,av_pnl,av_pnl_holding,stdev_pnl,lb1_0,lb1_1,lb1_2,lb1_3,lb1_4,lb1_5,lb1_6,lb5_0,lb5_1,lb5_2,lb5_3,lb5_4,lb5_5,lb5_6
1015,630,2024-04-01,2024-04-29,20,20,17,0,1,0,1,1,1,0,0,0.2,0.25,1.0096170234934705,0.344562622521371,0.0099921707882416,0.0084933451700054,0.0289995784079044,2.0253236092747273,0.2547605389017673,-0.43355810357187047,0.39165752365162554,0.031690170747781896,0.5643174922015125,0.004089241068224749,2.339782663344536,-0.30584136286829033,0.347471367074475,-0.5976899406707535,-0.09909238614854717,0.18326245265228366,-0.011864707464388138
1016,400,2023-05-01,2023-05-30,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9599727111125704,-1.0821645000096929,-0.040122281593081,-0.040122281593081,0.037075954342174,2.252238151201439,-1.0479075235120614,0.058688038990340065,-0.6153438072218211,0.07341554874505198,0.5023310868961232,0.0018021509334543659,1.368326136480496,0.16230189287014768,-0.938993372412546,0.01788917633975175,0.36014239616880006,0.5280353959241395,-0.018587164017459443
1017,422,2023-06-01,2023-06-30,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9649075743833824,-1.30393990626814,-0.0353228624091764,-0.0353228624091764,0.0270893330585072,0.36469530753661933,0.18993726333253896,0.7050859876685875,-0.6076271977428,-0.3561467837108831,0.3534388492980404,0.09250920322917876,-1.8091005282851376,2.117040256013407,0.08434634089897597,0.05701914899292868,-0.33540357904169105,0.3629381563264491,0.12866380966299476
1018,443,2023-07-03,2023-08-01,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9946311114953228,-0.1723899225267025,-0.0049674620320137,-0.0049674620320137,0.0288152692408357,1.9243263566570337,0.1326263274667072,0.718457029342599,-0.4411604590596584,-0.3882429630432592,0.19085214408020582,0.016129127025890738,0.5605674820846583,0.9327303727859496,-0.8096636640623458,-0.09881992178664238,0.27825745260763507,0.3216534371862318,-0.0010196209689707918
1019,463,2023-08-01,2023-08-29,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.98075146292282,-0.553200085519517,-0.0188433419434728,-0.0188433419434728,0.0340624349791573,1.502715704515438,0.4877636353132508,0.0698470619724753,-0.18535660624458744,-0.055734473441410366,0.2767542254622724,-0.5445248995089571,1.483055262899297,0.9968423647312251,-0.13019510928979966,0.4277248207124706,-0.21154180626820746,0.43294671674233737,-0.003424383381187227
1020,486,2023-09-01,2023-10-02,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9840460827404982,-0.4230747580689442,-0.0154088965216485,-0.0154088965216485,0.036421214520053,1.4521886197349343,-1.8215348443727817,0.37076420388437753,-0.2529329739669563,0.5704209529012367,0.4934731738055321,-0.2592896041515971,-1.1728836683136612,-1.004175900252226,0.20042693070388332,-0.7334022302966972,0.7207281479408016,0.4126458131462143,-0.19893598095893658
1021,506,2023-10-02,2023-10-30,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,1.0167641664885076,0.378676307612847,0.0177219658829052,0.0177219658829052,0.0467997747063276,-2.836377861560491,-0.362795405253067,0.5901674047744742,-0.4518673729719669,0.0961853693721996,0.07042485521049784,-0.28509770950553404,-3.241560481188878,0.8568417264161501,-0.2461114772846267,0.38608652765472234,0.24198841462007337,0.162694974326149,-0.31577640790982264
1022,528,2023-11-01,2023-11-30,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9631851177371592,-0.6380232514170175,-0.0358883254427993,-0.0358883254427993,0.0562492438372632,-1.6403800964782487,-1.4567409150597586,-0.09663191379161444,0.30139464746806455,0.9290290800943638,0.14535690223314465,0.7165206471628013,-2.9334782483980226,-0.22736239880369893,0.21979208853249513,-0.7194734428855907,0.3573282510828145,-0.10374418127718968,-0.3330949611485333
1023,549,2023-12-01,2024-01-02,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9763753455315376,-1.443681658271275,-0.0237583471306224,-0.0237583471306224,0.016456777014866,2.0369956338701334,0.6575941389545321,-0.7862351988314115,0.07448665002985495,0.25848267462897456,0.25842977739685896,-0.08764665006837263,2.2871777351697187,0.37764753746179175,-0.42871661622123974,-0.4627700390249247,0.3044474367610124,0.018697257339101395,-0.6538210471994524
1024,569,2024-01-02,2024-01-31,20,20,14,1,1,0,1,1,1,0,0,0.2,0.25,1.0529420710799378,1.1923963786099443,0.0526070869940555,0.0368249608958388,0.0441187913161755,1.6851806996048107,0.4560853329209476,0.21772896532867864,-0.8927754726767683,-0.03692309592514815,-0.11220529478077564,-0.08329976663146359,1.2862499055542698,1.7983627463168204,0.12257264437318607,0.44620216196462975,-0.4188082302704612,0.19039653071549573,-0.027131223507349162
1025,590,2024-02-01,2024-03-01,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,0.9613104039460452,-1.4720430643635878,-0.0390661623758055,-0.0390661623758055,0.0265387360747459,-0.07928980962677971,2.015025524892733,0.1975907054331569,0.2956198093578516,-0.41840082906562354,0.21483494229833658,0.046942246610956334,1.6057836917631443,0.7740698881804428,1.1937335946613838,-0.3001295853109322,-0.7096342693664043,0.07389794320262115,0.01494810352460952
1026,610,2024-03-01,2024-04-01,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,1.0026022005920945,0.1681172274355064,0.0027306539245623,0.0027306539245623,0.0162425586373047,1.8226601315888074,0.3599444800180071,0.3700231286819989,0.18736054267170277,0.4028828853815564,-0.11188897130756126,-0.9430358833318196,1.707475583359438,0.5347363502198689,0.762852012683566,0.474161267571833,-0.04967903555010473,0.021728221586229723,0.1907563024577296
1027,630,2024-04-01,2024-04-29,20,20,20,1,1,0,1,1,1,0,0,0.2,0.25,1.029029617049677,0.8502171846591656,0.0292265059552388,0.0292265059552388,0.034375341362872,2.0253236092747273,0.2547605389017673,-0.43355810357187047,0.39165752365162554,0.031690170747781896,0.5643174922015125,0.004089241068224749,2.339782663344536,-0.30584136286829033,0.347471367074475,-0.5976899406707535,-0.09909238614854717,0.18326245265228366,-0.011864707464388138
1028,400,2023-05-01,2023-05-30,20,20,13,0,1,1,0,0,1,0,0,0.2,0.25,0.9842892535608206,-0.4928405518848903,-0.0153469662378505,-0.0099755280546028,0.0311398203316578,2.252238151201439,-1.0479075235120614,0.058688038990340065,-0.6153438072218211,0.07341554874505198,0.5023310868961232,0.0018021509334543659,1.368326136480496,0.16230189287014768,-0.938993372412546,0.01788917633975175,0.36014239616880006,0.5280353959241395,-0.018587164017459443
1029,422,2023-06-01,2023-06-30,20,20,15,0,1,1,0,0,1,0,0,0.2,0.25,0.9631778697342886,-1.0523190948683896,-0.0368615066066744,-0.0276461299550058,0.0350288299304162,0.36469530753661933,0.18993726333253896,0.7050859876685875,-0.6076271977428,-0.3561467837108831,0.3534388492980404,0.09250920322917876,-1.8091005282851376,2.117040256013407,0.08434634089897597,0.05701914899292868,-0.33540357904169105,0.3629381563264491,0.12866380966299476
1030,443,2023-07-03,2023-08-01,20,20,4,0,1,1,0,0,1,0,0,0.2,0.25,1.008089666517224,0.3281184557171857,0.008384766438576,0.0016769532877152,0.0255540835709745,1.9243263566570337,0.1326263274667072,0.718457029342599,-0.4411604590596584,-0.3882429630432592,0.19085214408020582,0.016129127025890738,0.5605674820846583,0.9327303727859496,-0.8096636640623458,-0.09881992178664238,0.27825745260763507,0.3216534371862318,-0.0010196209689707918
1031,463,2023-08-01,2023-08-29,20,20,7,0,1,1,0,0,1,0,0,0.2,0.25,0.9999122708319728,-0.0035090407703468,-3.577180115668264e-05,-1.2520130404838926e-05,0.0101941822560091,1.502715704515438,0.4877636353132508,0.0698470619724753,-0.18535660624458744,-0.055734473441410366,0.2767542254622724,-0.5445248995089571,1.483055262899297,0.9968423647312251,-0.13019510928979966,0.4277248207124706,-0.21154180626820746,0.43294671674233737,-0.003424383381187227
